#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
26 PULL 1 E 3 NONE 3.122 12.9527 12.9527 -30.088 -30.088 -65.0953 62.4909
26 PULL 1 E 4 NONE 3.13938 12.917 12.917 -30.0826 -30.0826 -64.8451 63.2696
27 PULL 1 D 0 NONE 3.01387 12.9471 12.9471 -29.8407 -29.8407 -65.0167 65.6161
27 PULL 1 D 1 NONE 2.91133 13.0006 13.0006 -29.8068 -29.8068 -65.1583 65.8523
27 PULL 1 D 2 NONE 2.92865 13.028 13.028 -29.8935 -29.8935 -65.0287 65.4405
27 PULL 1 D 3 NONE 2.87838 12.9996 12.9996 -30.1702 -30.1702 -65.271 66.3934
27 PULL 1 D 4 NONE 2.94952 12.9844 12.9844 -30.2921 -30.2921 -65.2779 66.4321
28 PULL 1 D 0 NONE 2.99213 12.9603 12.9603 -29.3115 -29.3115 -64.9037 66.9133
28 PULL 1 D 1 NONE 2.96403 12.9637 12.9637 -29.2872 -29.2872 -65.1096 65.8362
28 PULL 1 D 2 NONE 3.08695 12.9804 12.9804 -29.2349 -29.2349 -64.4861 64.4252
28 PULL 1 D 3 NONE 3.00132 12.9507 12.9507 -29.2412 -29.2412 -65.5099 63.7402
28 PULL 1 D 4 NONE 2.9462 13.0196 13.0196 -29.1748 -29.1748 -65.83 64.1786
29 PULL 1 C 0 NONE 2.78674 12.9938 12.9938 -28.3511 -28.3511 -65.969 67.6628
29 PULL 1 C 1 NONE 2.79052 12.9473 12.9473 -28.4655 -28.4655 -65.8157 66.7316
29 PULL 1 C 2 NONE 2.7103 13.0049 13.0049 -28.3885 -28.3885 -65.465 66.0439
29 PULL 1 C 3 NONE 2.81272 12.9598 12.9598 -28.396 -28.396 -65.2126 65.2386
29 PULL 1 C 4 NONE 2.71062 12.8705 12.8705 -28.523 -28.523 -64.6689 66.3058
30 PULL 1 B 0 NONE 2.89465 12.8715 12.8715 -28.2794 -28.2794 -64.8717 55.1775
30 PULL 1 B 1 NONE 2.9466 12.9203 12.9203 -28.2354 -28.2354 -65.5346 54.3238
30 PULL 1 B 2 NONE 2.84656 12.8999 12.8999 -28.0958 -28.0958 -65.4257 50.9764
30 PULL 1 B 3 NONE 2.87515 12.8676 12.8676 -28.1324 -28.1324 -65.1647 50.0812
30 PULL 1 B 4 NONE 2.95029 12.9093 12.9093 -28.241 -28.241 -65.211 49.418
31 PULL 1 E 0 NONE 2.9913 12.8402 12.8402 -27.7025 -27.7025 -65.0629 53.8321
31 PULL 1 E 1 NONE 2.86831 12.906 12.906 -27.7991 -27.7991 -65.2274 54.5726
31 PULL 1 E 2 NONE 2.87983 12.881 12.881 -27.7583 -27.7583 -65.054 53.269
31 PULL 1 E 3 NONE 2.91345 12.8677 12.8677 -27.7793 -27.7793 -64.7215 53.1981
31 PULL 1 E 4 NONE 2.82027 12.8727 12.8727 -27.7217 -27.7217 -64.6445 53.0485
32 PULL 1 B 0 NONE 2.73283 13.026 13.026 -26.5418 -26.5418 -65.0901 49.3836
32 PULL 1 B 1 NONE 2.79726 13.0615 13.0615 -26.4936 -26.4936 -65.5884 47.7807
32 PULL 1 B 2 NONE 2.80321 13.0659 13.0659 -26.5544 -26.5544 -65.3401 48.3244
32 PULL 1 B 3 NONE 2.63193 13.1295 13.1295 -26.6097 -26.6097 -65.7119 49.9023
32 PULL 1 B 4 NONE 2.74661 13.0774 13.0774 -26.6087 -26.6087 -65.1446 50.1739
33 PULL 1 E 0 NONE 3.09058 12.8998 12.8998 -26.5383 -26.5383 -64.0456 54.3853
33 PULL 1 E 1 NONE 2.90292 12.9722 12.9722 -26.4531 -26.4531 -64.6685 55.0156
33 PULL 1 E 2 NONE 2.80191 12.9594 12.9594 -26.5849 -26.5849 -64.5819 55.6379
33 PULL 1 E 3 NONE 2.77706 13.0173 13.0173 -26.5611 -26.5611 -64.876 55.9596
33 PULL 1 E 4 NONE 2.7136 13.0032 13.0032 -26.4658 -26.4658 -65.244 55.6071
34 PULL 1 B 0 NONE 2.67141 13.0947 13.0947 -27.1411 -27.1411 -64.9224 50.6579
34 PULL 1 B 1 NONE 2.67653 13.0325 13.0325 -27.23 -27.23 -65.4238 50.6322
34 PULL 1 B 2 NONE 2.72083 12.9438 12.9438 -27.0955 -27.0955 -64.9325 50.0379
34 PULL 1 B 3 NONE 2.81125 13.0215 13.0215 -27.2188 -27.2188 -65.1018 49.6741
34 PULL 1 B 4 NONE 2.83225 13.0041 13.0041 -27.1992 -27.1992 -64.6519 50.9624
35 PULL 1 A 0 NONE 2.88019 13.0306 13.0306 -26.9591 -26.9591 -66.1257 54.0452
35 PULL 1 A 1 NONE 3.02541 12.9579 12.9579 -27.1577 -27.1577 -66.0608 54.5391
35 PULL 1 A 2 NONE 2.8356 12.9597 12.9597 -26.8663 -26.8663 -65.4497 56.5329
35 PULL 1 A 3 NONE 2.95013 13.0492 13.0492 -26.5102 -26.5102 -65.9948 57.8236
35 PULL 1 A 4 NONE 2.91131 12.9349 12.9349 -26.4799 -26.4799 -65.8414 57.8176
36 PULL 1 C 0 NONE 2.84915 12.9503 12.9503 -27.3525 -27.3525 -65.4842 57.487
36 PULL 1 C 1 NONE 2.96717 13.0016 13.0016 -27.3127 -27.3127 -65.204 58.0546
36 PULL 1 C 2 NONE 2.88336 12.96 12.96 -27.3246 -27.3246 -65.0045 58.8478
36 PULL 1 C 3 NONE 2.85627 13.0569 13.0569 -27.2942 -27.2942 -65.4587 60.0055
36 PULL 1 C 4 NONE 2.80645 12.9752 12.9752 -27.2375 -27.2375 -65.3203 59.8835
37 PULL 1 D 0 NONE 2.91547 13.0603 13.0603 -28.3749 -28.3749 -64.8109 69.7369
37 PULL 1 D 1 NONE 2.84254 12.9921 12.9921 -28.5257 -28.5257 -65.3563 69.2062
37 PULL 1 D 2 NONE 2.767 12.9433 12.9433 -28.3394 -28.3394 -65.7148 68.8776
37 PULL 1 D 3 NONE 2.91963 13.0476 13.0476 -28.5318 -28.5318 -65.8635 67.2493
37 PULL 1 D 4 NONE 2.92675 13.0454 13.0454 -28.7181 -28.7181 -66.0188 67.4128
38 PULL 1 F 0 NONE 3.0122 12.8979 12.8979 -27.5994 -27.5994 -65.7182 76.7521
38 PULL 1 F 1 NONE 3.07081 12.8874 12.8874 -27.5752 -27.5752 -65.1661 77.1437
38 PULL 1 F 2 NONE 3.0345 12.9 12.9 -27.4558 -27.4558 -65.1424 76.7675
38 PULL 1 F 3 NONE 3.11965 12.9199 12.9199 -27.7222 -27.7222 -65.3073 77.052
38 PULL 1 F 4 NONE 3.12864 12.9283 12.9283 -27.7114 -27.7114 -65.2937 77.0214
39 PULL 1 A 0 NONE 2.84668 13.0906 13.0906 -28.0139 -28.0139 -65.896 76.1993
39 PULL 1 A 1 NONE 2.90436 13.0954 13.0954 -27.8503 -27.8503 -65.9953 77.1664
39 PULL 1 A 2 NONE 2.82914 13.1204 13.1204 -27.7072 -27.7072 -65.5911 76.8853
39 PULL 1 A 3 NONE 3.01069 13.1167 13.1167 -27.5545 -27.5545 -66.2094 76.2651
39 PULL 1 A 4 NONE 2.90599 13.0452 13.0452 -27.4101 -27.4101 -65.6837 77.1683
40 PULL 1 D 0 NONE 2.89842 13.123 13.123 -27.1444 -27.1444 -65.5034 79.2868
40 PULL 1 D 1 NONE 2.83599 13.1081 13.1081 -26.9231 -26.9231 -65.6949 80.1729
